name,category,place,address,phone,description,summary,hours,attributes,services,rating,rating_count,rating_source
CONCEPT Food & Cafe Bar,restorani,Струмица,"ул. Климент Охридски 45","+389 70 202 666","Македонски и италијански јадења, пици, тестенини, салати, десерти и појадоци, со опции без глутен. На секоја маса има копче за повикување келнер.","Најдобро оценетиот ресторан во градот. Гостите редовно ја фалат архитектурата на ентериерот и презентацијата на храната; цените се малку над просекот за Струмица.","Од понеделник до четврток работи од 08:00 до 24:00. Во петок и сабота останува отворено до 01:00. Во недела отвора во 09:00.",kartichki|za-deca,ruchek:600-1000,"4,7",,google
Пица Елизабет,picerii,Струмица,"ул. 24-ти Октомври","+389 34 346 644","Пици, тестенини, лазањи, салати, поховани јадења и палачинки. Има надворешна тераса за седење во топлите месеци.","Едно од најпосетуваните места во градот; услугата се фали како брза и љубезна. Дел од гостите забележуваат дека салатите се послаба страна во споредба со пиците.","Од понеделник до четврток работи од 08:00 до 24:00. Во петок и сабота останува отворено до 01:00. Во недела отвора во 10:00.",terasa|za-deca,pica-golema:400-700,"4,5",,google
Бонита,restorani,Струмица,"Благој Јанков Мучето","+389 78 277 444","Домашна и интернационална кујна со скара, стекови, вегетаријански јадења и десерти. Има одвоен дел за непушачи.","Еден од најстарите и најпознатите ресторани во градот. Порциите се големи за цената; живата музика за викенд дел од гостите ја сакаат, а дел ја сметаат за прегласна.","Од понеделник до сабота работи од 08:00 до 01:00. Во недела отвора во 09:00 и работи до 01:00.",terasa|kartichki,ruchek:500-900,"4,4",,google
Стариот Џумбуслија,restorani,Струмица,"ул. Жртви на Фашизмот 15","+389 34 330 805","Обновена стара кафеана со традиционално мени: телешка чорба, скара, кафе и домашна ракија.","Гостите особено ги фалат чорбите и скарата. Забелешки има за тоа што се пуши внатре и дека услугата не е секогаш професионална.","Од понеделник до четврток работи од 08:00 до 24:00. Во петок и сабота останува отворено до 01:00. Во недела е затворено.",,skara:400-800,"4,7",,google
ARTY Brunch Cafe,kafulinja,Струмица,"ул. Атанас Јанев 3","+389 70 246 222","Мал локал специјализиран за појадок и бранч. Бургерот на куќата и морковната торта се најчесто препорачувани.","Кафето и десертите се високо оценети, а просторот е погоден за подолго седење. Поради малиот број маси резервацијата е препорачлива; некои гости сметаат дека политиката за резервации создава притисок.",Од понеделник до петок работи од 09:00 до 24:00. Во сабота и недела отвора во 10:00.,wifi,,"4,7",,google
Скопски Мерак,restorani,Скопје,"ул. Дебарца 51","+389 78 343 630","Традиционална македонска храна: јадења од скара, тави и мезе. Покрај внатрешниот дел има и градина. Живата музика обично почнува околу 21:00.","Ресторанот со најмногу рецензии во државата. Порциите се искрено големи; локалот е речиси секогаш полн, па резервацијата е речиси задолжителна за вечер.","Од понеделник до четврток работи од 09:00 до 24:00. Во петок и сабота останува отворено до 01:00. Во недела отвора во 12:00.",terasa|kartichki,skara:700-1300,"4,6",,google
Matto Napoletano,picerii,Скопје,"ул. Дебарца 2а","+389 71 343 063","Неаполитанска пицерија со тесто печено во печка на дрва. Освен пици, во менито има тестенини, салати и сендвичи за појадок.","Се спомнува меѓу педесетте најдобри пицерии во Европа. Тирамисуто со фстак е најфалениот десерт. Без резервација во вечерните часови може да се чека.",Работи секој ден од 09:00 до 23:30.,kartichki,pica-golema:600-1100,"4,7",,google
Senigallia,restorani,Скопје,"Кеј 13-ти Ноември 5в","+389 78 270 984","Ресторан во дрвен брод закотвен на Вардар. Претежно италијанска кујна со тестенини, супи, месни јадења и македонски вина. Објектот функционира и како хотел со појадок.","Услугата е една од најпофалените страни, со внимание кон посебни барања. Дел од гостите сметаат дека амбиентот и погледот се посилни од самата храна.","Работното време не е наведено на Гугл, па препорачливо е да се јави претходно.",terasa|kartichki,ruchek:700-1300,"4,6",,google
Four Restaurant,restorani,Скопје,"ул. 1732 бр. 4","+389 72 828 180","Ресторан покрај реката со ентериер полн со книги. Персоналот комуницира на англиски, српски и грчки.","Гостите пофално ги спомнуваат мисиркиното месо и пржената палента. Цените се над скопскиот просек, а порциите помали, што дел од посетителите го наведуваат како слабост.",Од понеделник до петок работи од 07:00 до 24:00. Во сабота и недела останува отворено до 01:00.,kartichki,ruchek:900-1600,"4,5",,google
Sky Bar Panoramika,kafulinja,Скопје,"ул. Тодор Александров 57","+389 70 304 010","Ресторан и бар на кров во хотел Панорамика, со панорамски поглед врз Скопје.","Погледот е главната причина поради која гостите доаѓаат; кујната и коктелите се добро оценети. Цените се меѓу највисоките. Масите до прозорците се резервирани само за гости што нарачуваат храна.",Работи секој ден од 07:00 до 24:00.,terasa|kartichki,po-lice:1200-2500,"4,5",,google
